City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,mana,5.6592,-53.7767,26.03,89,65,3.87,GF,1713783950
301,mandalgovi,45.7625,106.2708,5.47,28,8,5.2,MN,1713783952
302,fairbanks,64.8378,-147.7164,0.01,98,71,0.63,US,1713783902
303,ponta delgada,37.7333,-25.6667,17.06,84,100,3.69,PT,1713783954
304,trancas,-26.2314,-65.2803,19.03,92,32,0.19,AR,1713783955
305,port douglas,-16.4833,145.4667,23.9,70,65,4.29,AU,1713783956
306,cannonvale,-20.2833,148.7,23.68,82,95,9.8,AU,1713783957
307,kayangel,8.0823,134.7173,29.06,78,99,8.13,PW,1713783958
308,ouadda,8.0777,22.4007,38.34,25,86,2.85,CF,1713783959
309,scarborough,54.2797,-0.4044,4.25,94,100,1.56,GB,1713783960
310,taybad,34.74,60.7756,30.2,15,13,3.54,IR,1713783961
311,suva,-18.1416,178.4415,25.8,90,93,2.91,FJ,1713783962
312,foumban,5.7291,10.9001,26.15,64,99,2.13,CM,1713783963
313,grand-bassam,5.2118,-3.7388,31.66,64,100,2.11,CI,1713783964
314,mboursou lere,9.7639,14.1539,36.72,31,97,4.05,TD,1713783965
315,bardai,11.65,7.2333,37.26,21,82,2.59,NG,1713783966
316,basoko,1.2391,23.616,35.64,36,36,0.73,CD,1713783967
317,nizhniy lomov,53.5304,43.6766,19.44,40,88,5.96,RU,1713783969
318,kuala belait,4.5833,114.1833,27.59,81,86,1.94,BN,1713783970
319,lalsot,26.5667,76.3333,37.16,11,12,4.19,IN,1713783971
320,labrador city,52.9463,-66.9114,-11.88,89,100,5.82,CA,1713783973
321,lata,40.1629,-8.3327,20.42,32,25,4.32,PT,1713783974
322,altay,47.8667,88.1167,16.71,33,5,2.59,CN,1713783976
323,colonia,50.9333,6.95,9.38,44,100,3.32,DE,1713783977
324,nema,57.5067,50.5011,21.07,46,100,5.87,RU,1713783978
325,vila velha,-20.3297,-40.2925,24.31,64,1,1.15,BR,1713783979
326,carnarvon,-24.8667,113.6333,24.15,70,85,11.14,AU,1713783980
327,taksimo,56.3444,114.8794,4.29,63,94,1.87,RU,1713783982
328,eureka,40.8021,-124.1637,10.24,79,83,1.59,US,1713783983
329,baicheng,45.6167,122.8167,14.87,47,100,3.12,CN,1713783984
330,saudarkrokur,65.7461,-19.6394,7.25,49,59,5.33,IS,1713783985
331,manokwari,-0.8667,134.0833,27.98,77,27,2.42,ID,1713783986
332,cestos city,5.46,-9.5828,30.64,67,100,3.55,LR,1713783987
333,veinticinco de mayo,-35.4323,-60.1727,12.96,95,100,6.4,AR,1713783988
334,korla,41.7597,86.1469,26.33,14,32,3.59,CN,1713783990
335,lorengau,-2.0226,147.2712,28.16,74,98,2.41,PG,1713783991
336,karratha,-20.7377,116.8463,26.55,53,0,3.99,AU,1713783992
337,hasaki,35.7333,140.8333,16.72,71,96,5.92,JP,1713783993
338,ambon,-3.6954,128.1814,27.9,82,98,2.72,ID,1713783994
339,springbok,-29.6643,17.8865,23.12,36,91,5.46,ZA,1713783995
340,maceio,-9.6658,-35.7353,26.71,84,97,1.49,BR,1713783996
341,paungde,18.4833,95.5,42.13,17,10,1.03,MM,1713783997
342,kingston,17.997,-76.7936,22.69,86,1,1.3,JM,1713783998
343,binhe,32.6883,112.8275,23.11,60,100,2.21,CN,1713783999
344,codrington,-38.2667,141.9667,10.17,81,29,3.05,AU,1713784000
345,gwadar,25.1216,62.3254,28.77,62,0,6.7,PK,1713784001
346,rabaul,-4.1967,152.1721,28.37,76,87,1.23,PG,1713784002
347,florida,28.7505,-82.5001,13.9,96,18,3.35,US,1713784003
348,tazacorte,28.629,-17.9293,20.61,60,100,1.32,ES,1713784004
349,abong mbang,3.9833,13.1833,24.3,91,100,1.43,CM,1713784005
350,oneida,43.2001,-75.4663,-0.24,75,64,0.38,US,1713784006
351,kulykivka,51.3735,31.6466,8.95,70,89,8.35,UA,1713784007
352,tremonton,41.7119,-112.1655,9.03,67,100,1.6,US,1713784008
353,esquel,-42.9,-71.3167,4.93,75,100,1.2,AR,1713784009
354,kerikeri,-35.2268,173.9474,12.66,94,1,2.05,NZ,1713784010
355,bel ombre,-4.6167,55.4167,29.0,75,100,3.71,SC,1713784011
356,joal-fadiout,14.1667,-16.8333,24.2,62,79,4.86,SN,1713784012
357,bethanie,-26.4833,17.15,32.37,17,54,6.54,NA,1713784013
358,tateyama,34.9833,139.8667,15.5,82,100,5.66,JP,1713784014
359,paranaiba,-19.6772,-51.1908,22.6,64,7,1.26,BR,1713784015
360,mount pearl,47.5166,-52.7813,5.01,83,100,2.13,CA,1713783883
361,san jose,37.3394,-121.895,16.2,71,1,0.39,US,1713783763
